Record_ID,Title,Platform,Source system,Source URL,Evidence status,Review status,Notes
source-item:stairway-lost:https-www-stairwaytohell-com-lostandfound-homepage-html:produced-by-masik-on-the-cover-art-matthew-s-si-kilvington,'produced,BBC Micro / Acorn Electron,Stairway To Hell,https://www.stairwaytohell.com/lostandfound/homepage.html,Secondary database evidence,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:stairway-lost:https-www-stairwaytohell-com-lostandfound-indexb-html:alligata,(ALLIGATA),BBC Micro / Acorn Electron,Stairway To Hell,https://www.stairwaytohell.com/lostandfound/indexb.html,Secondary database evidence,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:stairway-lost:https-www-stairwaytohell-com-lostandfound-homepage-html:demo-by-rich-talbot-watkins-and-matt-godbolt,(DEMO),BBC Micro / Acorn Electron,Stairway To Hell,https://www.stairwaytohell.com/lostandfound/homepage.html,Secondary database evidence,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:stairway-lost:https-www-stairwaytohell-com-lostandfound-indexb-html:demo-by-rich-talbot-watkins-and-matt-godbolt-acorn-user,(DEMO),BBC Micro / Acorn Electron,Stairway To Hell,https://www.stairwaytohell.com/lostandfound/indexb.html,Secondary database evidence,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:stairway-lost:https-www-stairwaytohell-com-lostandfound-indexb-html:demo-by-tony-bartram,(DEMO),BBC Micro / Acorn Electron,Stairway To Hell,https://www.stairwaytohell.com/lostandfound/indexb.html,Secondary database evidence,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:stairway-lost:https-www-stairwaytohell-com-lostandfound-homepage-html:dragsonsoft,(DRAGSONSOFT),BBC Micro / Acorn Electron,Stairway To Hell,https://www.stairwaytohell.com/lostandfound/homepage.html,Secondary database evidence,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:stairway-lost:https-www-stairwaytohell-com-lostandfound-homepage-html:imagine,(IMAGINE?),BBC Micro / Acorn Electron,Stairway To Hell,https://www.stairwaytohell.com/lostandfound/homepage.html,Secondary database evidence,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:stairway-lost:https-www-stairwaytohell-com-lostandfound-homepage-html:m128,(M128),BBC Micro / Acorn Electron,Stairway To Hell,https://www.stairwaytohell.com/lostandfound/homepage.html,Secondary database evidence,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:stairway-lost:https-www-stairwaytohell-com-lostandfound-indexb-html:micropower,(MICROPOWER),BBC Micro / Acorn Electron,Stairway To Hell,https://www.stairwaytohell.com/lostandfound/indexb.html,Secondary database evidence,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:stairway-lost:https-www-stairwaytohell-com-lostandfound-homepage-html:rude-hack,(RUDE HACK),BBC Micro / Acorn Electron,Stairway To Hell,https://www.stairwaytohell.com/lostandfound/homepage.html,Secondary database evidence,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:stairway-lost:https-www-stairwaytohell-com-lostandfound-homepage-html:superior,(SUPERIOR),BBC Micro / Acorn Electron,Stairway To Hell,https://www.stairwaytohell.com/lostandfound/homepage.html,Secondary database evidence,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:stairway-lost:https-www-stairwaytohell-com-lostandfound-indexb-html:superior,(SUPERIOR),BBC Micro / Acorn Electron,Stairway To Hell,https://www.stairwaytohell.com/lostandfound/indexb.html,Secondary database evidence,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:stairway-lost:https-www-stairwaytohell-com-lostandfound-homepage-html:us-gold,(US GOLD),BBC Micro / Acorn Electron,Stairway To Hell,https://www.stairwaytohell.com/lostandfound/homepage.html,Secondary database evidence,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:stairway-lost:https-www-stairwaytohell-com-lostandfound-homepage-html:dir-docs,*DIR DOCS,BBC Micro / Acorn Electron,Stairway To Hell,https://www.stairwaytohell.com/lostandfound/homepage.html,Secondary database evidence,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:stairway-lost:https-www-stairwaytohell-com-lostandfound-homepage-html:type,*TYPE,BBC Micro / Acorn Electron,Stairway To Hell,https://www.stairwaytohell.com/lostandfound/homepage.html,Secondary database evidence,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:stairway-lost:https-www-stairwaytohell-com-lostandfound-homepage-html:early-version-superior,- EARLY VERSION,BBC Micro / Acorn Electron,Stairway To Hell,https://www.stairwaytohell.com/lostandfound/homepage.html,Secondary database evidence,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
