Issue_ID,Severity,Status,Entity,Source,Notes
issue:crash:001,Review,Open,publication:crash,https://www.crashonline.org.uk/01/index.htm,Issue-level bibliographic metadata only.
issue:crash:002,Review,Open,publication:crash,https://www.crashonline.org.uk/02/index.htm,Issue-level bibliographic metadata only.
issue:crash:003,Review,Open,publication:crash,https://www.crashonline.org.uk/03/index.htm,Issue-level bibliographic metadata only.
issue:crash:004,Review,Open,publication:crash,https://www.crashonline.org.uk/04/index.htm,Issue-level bibliographic metadata only.
issue:crash:005,Review,Open,publication:crash,https://www.crashonline.org.uk/05/index.htm,Issue-level bibliographic metadata only.
issue:crash:006,Review,Open,publication:crash,https://www.crashonline.org.uk/06/index.htm,Issue-level bibliographic metadata only.
issue:crash:007,Review,Open,publication:crash,https://www.crashonline.org.uk/07/index.htm,Issue-level bibliographic metadata only.
issue:crash:008,Review,Open,publication:crash,https://www.crashonline.org.uk/08/index.htm,Issue-level bibliographic metadata only.
issue:crash:009,Review,Open,publication:crash,https://www.crashonline.org.uk/09/index.htm,Issue-level bibliographic metadata only.
issue:crash:010,Review,Open,publication:crash,https://www.crashonline.org.uk/10/index.htm,Issue-level bibliographic metadata only.
issue:crash:011,Review,Open,publication:crash,https://www.crashonline.org.uk/11/index.htm,Issue-level bibliographic metadata only.
issue:crash:012,Review,Open,publication:crash,https://www.crashonline.org.uk/12/index.htm,Issue-level bibliographic metadata only.
issue:crash:013,Review,Open,publication:crash,https://www.crashonline.org.uk/13/index.htm,Issue-level bibliographic metadata only.
issue:crash:014,Review,Open,publication:crash,https://www.crashonline.org.uk/14/index.htm,Issue-level bibliographic metadata only.
issue:crash:015,Review,Open,publication:crash,https://www.crashonline.org.uk/15/index.htm,Issue-level bibliographic metadata only.
issue:crash:016,Review,Open,publication:crash,https://www.crashonline.org.uk/16/index.htm,Issue-level bibliographic metadata only.
issue:crash:017,Review,Open,publication:crash,https://www.crashonline.org.uk/17/index.htm,Issue-level bibliographic metadata only.
issue:crash:018,Review,Open,publication:crash,https://www.crashonline.org.uk/18/index.htm,Issue-level bibliographic metadata only.
issue:crash:019,Review,Open,publication:crash,https://www.crashonline.org.uk/19/index.htm,Issue-level bibliographic metadata only.
issue:crash:020,Review,Open,publication:crash,https://www.crashonline.org.uk/20/index.htm,Issue-level bibliographic metadata only.
issue:crash:021,Review,Open,publication:crash,https://www.crashonline.org.uk/21/index.htm,Issue-level bibliographic metadata only.
