Studio / Publisher,Type,City/Region,Country,Active / Founded,Representative games / relevance,Evidence status,Primary source URL,Notes
39 Steps,printed company or label,,Unknown unless sourced,,,Candidate / unresolved,https://en.wikipedia.org/w/index.php?title=List_of_ZX_Spectrum_games&oldid=1359444555,"Printed label/company evidence only; publisher, label and developer roles must be reviewed separately."
4mation Educational Resources,printed company or label,,Unknown unless sourced,,,Candidate / unresolved,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip,"Printed label/company evidence only; publisher, label and developer roles must be reviewed separately."
4th Dimension,printed company or label,,Unknown unless sourced,,,Candidate / unresolved,https://www.stairwaytohell.com/electron/a.html,"Printed label/company evidence only; publisher, label and developer roles must be reviewed separately."
5D Software,printed company or label,,Unknown unless sourced,,,Candidate / unresolved,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip,"Printed label/company evidence only; publisher, label and developer roles must be reviewed separately."
5th Dimension,printed company or label,,Unknown unless sourced,,,Candidate / unresolved,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip,"Printed label/company evidence only; publisher, label and developer roles must be reviewed separately."
666 Software,printed company or label,,Unknown unless sourced,,,Candidate / unresolved,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip,"Printed label/company evidence only; publisher, label and developer roles must be reviewed separately."
8-Bit Public Domain,printed company or label,,Unknown unless sourced,,,Candidate / unresolved,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip,"Printed label/company evidence only; publisher, label and developer roles must be reviewed separately."
8th Day Software,printed company or label,,Unknown unless sourced,,,Candidate / unresolved,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip,"Printed label/company evidence only; publisher, label and developer roles must be reviewed separately."
:,printed company or label,,Unknown unless sourced,,,Candidate / unresolved,https://sinclairuser.com/029/books.htm,"Printed label/company evidence only; publisher, label and developer roles must be reviewed separately."
[HQ],printed company or label,,Unknown unless sourced,,,Candidate / unresolved,https://www.stairwaytohell.com/electron/c.html,"Printed label/company evidence only; publisher, label and developer roles must be reviewed separately."
A Baines,printed company or label,,Unknown unless sourced,,,Candidate / unresolved,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip,"Printed label/company evidence only; publisher, label and developer roles must be reviewed separately."
A Boucher,printed company or label,,Unknown unless sourced,,,Candidate / unresolved,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip,"Printed label/company evidence only; publisher, label and developer roles must be reviewed separately."
A Greenhalgh,printed company or label,,Unknown unless sourced,,,Candidate / unresolved,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip,"Printed label/company evidence only; publisher, label and developer roles must be reviewed separately."
A Manser,printed company or label,,Unknown unless sourced,,,Candidate / unresolved,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip,"Printed label/company evidence only; publisher, label and developer roles must be reviewed separately."
A Mehmood,printed company or label,,Unknown unless sourced,,,Candidate / unresolved,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip,"Printed label/company evidence only; publisher, label and developer roles must be reviewed separately."
A Ward,printed company or label,,Unknown unless sourced,,,Candidate / unresolved,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip,"Printed label/company evidence only; publisher, label and developer roles must be reviewed separately."
A Wilkinson,printed company or label,,Unknown unless sourced,,,Candidate / unresolved,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip,"Printed label/company evidence only; publisher, label and developer roles must be reviewed separately."
A&F,printed company or label,,Unknown unless sourced,,,Candidate / unresolved,https://www.stairwaytohell.com/electron/c.html,"Printed label/company evidence only; publisher, label and developer roles must be reviewed separately."
A&F Software,printed company or label,,Unknown unless sourced,,,Candidate / unresolved,https://en.wikipedia.org/w/index.php?title=List_of_ZX_Spectrum_games&oldid=1359444555,"Printed label/company evidence only; publisher, label and developer roles must be reviewed separately."
A'n'F Software,printed company or label,,Unknown unless sourced,,,Candidate / unresolved,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip,"Printed label/company evidence only; publisher, label and developer roles must be reviewed separately."
Aardvark,printed company or label,,Unknown unless sourced,,,Candidate / unresolved,https://www.stairwaytohell.com/electron/f.html,"Printed label/company evidence only; publisher, label and developer roles must be reviewed separately."
Aardvark Software,printed company or label,,Unknown unless sourced,,,Candidate / unresolved,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip,"Printed label/company evidence only; publisher, label and developer roles must be reviewed separately."
