assertion:wikipedia:list-of-zx-spectrum-games:kikstart-2:publisher-as-printed:mastertronic,wikipedia,game,Kikstart 2,publisher_as_printed,organisation,Mastertronic,ZX Spectrum,1988,Secondary database evidence,candidate,candidate,https://en.wikipedia.org/wiki/List_of_ZX_Spectrum_games,https://en.wikipedia.org/w/index.php?title=List_of_ZX_Spectrum_games&oldid=1359444555,CC BY-SA,True,Wikipedia-derived source assertion; do not promote without corroboration.,source-item:wikipedia-platform-lists:list-of-zx-spectrum-games:kikstart-2
assertion:wikipedia:list-of-zx-spectrum-games:kikstart-2:release-date-as-printed:1988,wikipedia,game,Kikstart 2,release_date_as_printed,date,1988,ZX Spectrum,1988,Secondary database evidence,candidate,candidate,https://en.wikipedia.org/wiki/List_of_ZX_Spectrum_games,https://en.wikipedia.org/w/index.php?title=List_of_ZX_Spectrum_games&oldid=1359444555,CC BY-SA,True,Wikipedia-derived source assertion; do not promote without corroboration.,source-item:wikipedia-platform-lists:list-of-zx-spectrum-games:kikstart-2
assertion:wikipedia:list-of-zx-spectrum-games:kikstart-2:title-seed:kikstart-2,wikipedia,game,Kikstart 2,title_seed,game,Kikstart 2,ZX Spectrum,1988,Title-only seed,candidate,candidate,https://en.wikipedia.org/wiki/List_of_ZX_Spectrum_games,https://en.wikipedia.org/w/index.php?title=List_of_ZX_Spectrum_games&oldid=1359444555,CC BY-SA,True,Wikipedia-derived source assertion; do not promote without corroboration.,source-item:wikipedia-platform-lists:list-of-zx-spectrum-games:kikstart-2
assertion:wikipedia:list-of-zx-spectrum-games:killed-until-dead:developer-as-printed:michael-bate-rick-banks-stephen-steve-ward-neil-ward,wikipedia,game,Killed Until Dead,developer_as_printed,organisation,"Michael Bate, Rick Banks, Stephen ""Steve"" Ward, Neil Ward",ZX Spectrum,1987,Secondary database evidence,candidate,candidate,https://en.wikipedia.org/wiki/List_of_ZX_Spectrum_games,https://en.wikipedia.org/w/index.php?title=List_of_ZX_Spectrum_games&oldid=1359444555,CC BY-SA,True,Wikipedia-derived source assertion; do not promote without corroboration.,source-item:wikipedia-platform-lists:list-of-zx-spectrum-games:killed-until-dead
assertion:wikipedia:list-of-zx-spectrum-games:killed-until-dead:publisher-as-printed:u-s-gold,wikipedia,game,Killed Until Dead,publisher_as_printed,organisation,U.S. Gold,ZX Spectrum,1987,Secondary database evidence,candidate,candidate,https://en.wikipedia.org/wiki/List_of_ZX_Spectrum_games,https://en.wikipedia.org/w/index.php?title=List_of_ZX_Spectrum_games&oldid=1359444555,CC BY-SA,True,Wikipedia-derived source assertion; do not promote without corroboration.,source-item:wikipedia-platform-lists:list-of-zx-spectrum-games:killed-until-dead
assertion:wikipedia:list-of-zx-spectrum-games:killed-until-dead:release-date-as-printed:1987,wikipedia,game,Killed Until Dead,release_date_as_printed,date,1987,ZX Spectrum,1987,Secondary database evidence,candidate,candidate,https://en.wikipedia.org/wiki/List_of_ZX_Spectrum_games,https://en.wikipedia.org/w/index.php?title=List_of_ZX_Spectrum_games&oldid=1359444555,CC BY-SA,True,Wikipedia-derived source assertion; do not promote without corroboration.,source-item:wikipedia-platform-lists:list-of-zx-spectrum-games:killed-until-dead
assertion:wikipedia:list-of-zx-spectrum-games:killed-until-dead:title-seed:killed-until-dead,wikipedia,game,Killed Until Dead,title_seed,game,Killed Until Dead,ZX Spectrum,1987,Title-only seed,candidate,candidate,https://en.wikipedia.org/wiki/List_of_ZX_Spectrum_games,https://en.wikipedia.org/w/index.php?title=List_of_ZX_Spectrum_games&oldid=1359444555,CC BY-SA,True,Wikipedia-derived source assertion; do not promote without corroboration.,source-item:wikipedia-platform-lists:list-of-zx-spectrum-games:killed-until-dead
assertion:wikipedia:list-of-zx-spectrum-games:killer-kong:developer-as-printed:gary-capewell,wikipedia,game,Killer Kong,developer_as_printed,organisation,Gary Capewell,ZX Spectrum,1983,Secondary database evidence,candidate,candidate,https://en.wikipedia.org/wiki/List_of_ZX_Spectrum_games,https://en.wikipedia.org/w/index.php?title=List_of_ZX_Spectrum_games&oldid=1359444555,CC BY-SA,True,Wikipedia-derived source assertion; do not promote without corroboration.,source-item:wikipedia-platform-lists:list-of-zx-spectrum-games:killer-kong
assertion:wikipedia:list-of-zx-spectrum-games:killer-kong:publisher-as-printed:blaby-computer-games,wikipedia,game,Killer Kong,publisher_as_printed,organisation,Blaby Computer Games,ZX Spectrum,1983,Secondary database evidence,candidate,candidate,https://en.wikipedia.org/wiki/List_of_ZX_Spectrum_games,https://en.wikipedia.org/w/index.php?title=List_of_ZX_Spectrum_games&oldid=1359444555,CC BY-SA,True,Wikipedia-derived source assertion; do not promote without corroboration.,source-item:wikipedia-platform-lists:list-of-zx-spectrum-games:killer-kong
assertion:wikipedia:list-of-zx-spectrum-games:killer-kong:release-date-as-printed:1983,wikipedia,game,Killer Kong,release_date_as_printed,date,1983,ZX Spectrum,1983,Secondary database evidence,candidate,candidate,https://en.wikipedia.org/wiki/List_of_ZX_Spectrum_games,https://en.wikipedia.org/w/index.php?title=List_of_ZX_Spectrum_games&oldid=1359444555,CC BY-SA,True,Wikipedia-derived source assertion; do not promote without corroboration.,source-item:wikipedia-platform-lists:list-of-zx-spectrum-games:killer-kong
