source-item:globalnet-spot:toolkit:ims-software,SPOT*On / GlobalNet,publication:spot-on,,index-only entry,Toolkit,,,IMS Software,,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip,parsed,Plain index metadata only; no article text or listing copied.,2026-06-18,3aa4c25c684b270ecf9015c877e5c13730ed4488b12311bb0ff2f636233a2eeb
source-item:globalnet-spot:toolkit:kerian-uk,SPOT*On / GlobalNet,publication:spot-on,,index-only entry,Toolkit,,,Kerian UK,,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip,parsed,Plain index metadata only; no article text or listing copied.,2026-06-18,9d8c4fb2d60294ab40d548027219b423375e42373a776eb478869da5eab2227b
source-item:globalnet-spot:toot-n-come-in-peneless:ivysoft,SPOT*On / GlobalNet,publication:spot-on,,index-only entry,Toot 'n' Come In + Peneless                                    @,,,Ivysoft,,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip,parsed,Plain index metadata only; no article text or listing copied.,2026-06-18,151ed69e63623be4d17090eba0b01bb8afd98cf37f8ca225f4064ed9327f13ef
source-item:globalnet-spot:toot-n-come-in:epsilon-software,SPOT*On / GlobalNet,publication:spot-on,,index-only entry,Toot 'n' Come In,,,Epsilon Software,,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip,parsed,Plain index metadata only; no article text or listing copied.,2026-06-18,41dce17ac2e7d77fbe1bf0ed163d15020db175038859f7709ca2895cd27e82a1
source-item:globalnet-spot:tootie-fruity:dream-software,SPOT*On / GlobalNet,publication:spot-on,,index-only entry,Tootie Fruity,,,Dream Software,,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip,parsed,Plain index metadata only; no article text or listing copied.,2026-06-18,bfae1df913b52b06d2371721691ed8f3461e99e4b247ed0fc475cca61bb229ef
source-item:globalnet-spot:top-10-collection:hit-pak-elite,SPOT*On / GlobalNet,publication:spot-on,,index-only entry,Top 10 Collection,,,Hit-Pak (Elite),,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip,parsed,Plain index metadata only; no article text or listing copied.,2026-06-18,45bfe2ceee3a183b6a69b4602eababfd37d5362515290bcf2449a82da3257ab5
source-item:globalnet-spot:top-cat-in-beverly-hills-cats:hi-tec-software,SPOT*On / GlobalNet,publication:spot-on,,index-only entry,Top Cat in Beverly Hills Cats,,,Hi-Tec Software,,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip,parsed,Plain index metadata only; no article text or listing copied.,2026-06-18,1e35f9116066497d8807c36bb1bdeb0a5a346d3947a9b6510eefc7fd97a86f0c
source-item:globalnet-spot:top-fruit-machine:your-sinclair,SPOT*On / GlobalNet,publication:spot-on,,index-only entry,Top Fruit Machine,,,Your Sinclair,,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip,parsed,Plain index metadata only; no article text or listing copied.,2026-06-18,e097a555f4ac0d1230950e0ac79c8dc334e3af5a0212a8edbde628d03fb1d7f7
source-item:globalnet-spot:top-gun:ocean-software,SPOT*On / GlobalNet,publication:spot-on,,index-only entry,Top Gun,,,Ocean Software,,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip,parsed,Plain index metadata only; no article text or listing copied.,2026-06-18,cbc61bf4179c19abdef18e077ce081e644cbfcd62ea6a27ea421aa85e2cb8d0b
source-item:globalnet-spot:top-notch:steve-movatt,SPOT*On / GlobalNet,publication:spot-on,,index-only entry,Top Notch,,,Steve Movatt,,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip,parsed,Plain index metadata only; no article text or listing copied.,2026-06-18,8dc010c53b3e5dd7f784cce41507a7756508d594760e688550b02b1445141e02
