queue_id,entity_type,left_id,left_name,right_id,right_name,match_reason,decision,decided_by,decided_at,notes
organisation-0001,organisation,organisation:code-masters,Code Masters,organisation:codemasters,Codemasters,normalised exact match,unresolved,,,"Do not auto-merge people, legal organisations, labels, or similarly titled games."
game-0002,game,game:3-d-pinball,3-D Pinball,game:3d-pinball,3D Pinball,normalised exact match,unresolved,,,"Do not auto-merge people, legal organisations, labels, or similarly titled games."
game-0003,game,game:720-degrees,720 Degrees,game:720degrees,720degrees,normalised exact match,unresolved,,,"Do not auto-merge people, legal organisations, labels, or similarly titled games."
game-0004,game,game:brain-storm,Brain storm,game:brainstorm,Brainstorm,normalised exact match,unresolved,,,"Do not auto-merge people, legal organisations, labels, or similarly titled games."
game-0005,game,game:brendon-kavanaghs-pbm-mailbox-in-3-d,BRENDON KAVANAGH’S PBM MAILBOX — IN 3-D,game:brendon-kavanaghs-pbm-mailbox-in-3d,BRENDON KAVANAGH’S PBM MAILBOX — IN 3D,normalised exact match,unresolved,,,"Do not auto-merge people, legal organisations, labels, or similarly titled games."
game-0006,game,game:code-name-mat,CODE NAME MAT,game:codename-mat,Codename MAT,normalised exact match,unresolved,,,"Do not auto-merge people, legal organisations, labels, or similarly titled games."
game-0007,game,game:con-quest,Con-Quest,game:conquest,Conquest,normalised exact match,unresolved,,,"Do not auto-merge people, legal organisations, labels, or similarly titled games."
game-0008,game,game:crash-readers-charts-in-3-d,CRASH READERS’ CHARTS — IN 3-D,game:crash-readers-charts-in-3d,CRASH READERS’ CHARTS — IN 3D,normalised exact match,unresolved,,,"Do not auto-merge people, legal organisations, labels, or similarly titled games."
game-0009,game,game:de-fusion,De-Fusion,game:defusion,Defusion,normalised exact match,unresolved,,,"Do not auto-merge people, legal organisations, labels, or similarly titled games."
game-0010,game,game:death-star,Death Star,game:deathstar,Deathstar,normalised exact match,unresolved,,,"Do not auto-merge people, legal organisations, labels, or similarly titled games."
game-0011,game,game:dollar-soft,DOLLAR SOFT,game:dollarsoft,Dollarsoft,normalised exact match,unresolved,,,"Do not auto-merge people, legal organisations, labels, or similarly titled games."
game-0012,game,game:fire-trap,Fire Trap,game:firetrap,Firetrap,normalised exact match,unresolved,,,"Do not auto-merge people, legal organisations, labels, or similarly titled games."
game-0013,game,game:front-line,FRONT LINE,game:frontline,FRONTLINE,normalised exact match,unresolved,,,"Do not auto-merge people, legal organisations, labels, or similarly titled games."
game-0014,game,game:ghost-hunters,Ghost Hunters,game:ghosthunters,Ghosthunters,normalised exact match,unresolved,,,"Do not auto-merge people, legal organisations, labels, or similarly titled games."
game-0015,game,game:home-grown-software,HOME GROWN SOFTWARE,game:homegrown-software,HOMEGROWN SOFTWARE,normalised exact match,unresolved,,,"Do not auto-merge people, legal organisations, labels, or similarly titled games."
game-0016,game,game:hot-shot,Hot-Shot,game:hotshot,Hotshot,normalised exact match,unresolved,,,"Do not auto-merge people, legal organisations, labels, or similarly titled games."
game-0017,game,game:joystick-and-interface,Joystick & interface,game:joystick-interface,Joystick interface,normalised exact match,unresolved,,,"Do not auto-merge people, legal organisations, labels, or similarly titled games."
game-0018,game,game:leader-board,Leader Board,game:leaderboard,Leaderboard,normalised exact match,unresolved,,,"Do not auto-merge people, legal organisations, labels, or similarly titled games."
game-0019,game,game:leap-frog,Leap Frog,game:leapfrog,Leapfrog,normalised exact match,unresolved,,,"Do not auto-merge people, legal organisations, labels, or similarly titled games."
game-0020,game,game:light-magic,LIGHT MAGIC,game:lightmagic,Lightmagic,normalised exact match,unresolved,,,"Do not auto-merge people, legal organisations, labels, or similarly titled games."
game-0021,game,game:maze-mania,Maze Mania,game:mazemania,Mazemania,normalised exact match,unresolved,,,"Do not auto-merge people, legal organisations, labels, or similarly titled games."
game-0022,game,game:pac-man,Pac-Man,game:pacman,Pacman,normalised exact match,unresolved,,,"Do not auto-merge people, legal organisations, labels, or similarly titled games."
game-0023,game,game:road-racer,Road Racer,game:roadracer,Roadracer,normalised exact match,unresolved,,,"Do not auto-merge people, legal organisations, labels, or similarly titled games."
game-0024,game,game:road-runner,Road Runner,game:roadrunner,Roadrunner,normalised exact match,unresolved,,,"Do not auto-merge people, legal organisations, labels, or similarly titled games."
game-0025,game,game:time-bomb,Time Bomb,game:timebomb,Timebomb,normalised exact match,unresolved,,,"Do not auto-merge people, legal organisations, labels, or similarly titled games."
game-0026,game,game:time-quest,Time Quest,game:timequest,Timequest,normalised exact match,unresolved,,,"Do not auto-merge people, legal organisations, labels, or similarly titled games."
game-0027,game,game:touch-line-plan-32,Touch Line Plan 32,game:touchline-plan-32,Touchline Plan 32,normalised exact match,unresolved,,,"Do not auto-merge people, legal organisations, labels, or similarly titled games."
game-0028,game,game:zip-zap,Zip-Zap,game:zipzap,ZipZap,normalised exact match,unresolved,,,"Do not auto-merge people, legal organisations, labels, or similarly titled games."
ambiguous-0029,person,person:julianjameson,Julian Jameson,person:julienjameson,Julien Jameson,configured ambiguous name group julian_jamieson_group,unresolved,,,Configured ambiguous spelling/identity group; keep separate until documentary evidence resolves it.
ambiguous-0030,person,person:julianjameson,Julian Jameson,person:julianjamieson,Julian Jamieson,configured ambiguous name group julian_jamieson_group,unresolved,,,Configured ambiguous spelling/identity group; keep separate until documentary evidence resolves it.
ambiguous-0031,person,person:julianjameson,Julian Jameson,person:joolsjameson,Jools Jameson,configured ambiguous name group julian_jamieson_group,unresolved,,,Configured ambiguous spelling/identity group; keep separate until documentary evidence resolves it.
ambiguous-0032,person,person:julianjameson,Julian Jameson,person:joolsjamieson,Jools Jamieson,configured ambiguous name group julian_jamieson_group,unresolved,,,Configured ambiguous spelling/identity group; keep separate until documentary evidence resolves it.
ambiguous-0033,person,person:julienjameson,Julien Jameson,person:julianjamieson,Julian Jamieson,configured ambiguous name group julian_jamieson_group,unresolved,,,Configured ambiguous spelling/identity group; keep separate until documentary evidence resolves it.
ambiguous-0034,person,person:julienjameson,Julien Jameson,person:joolsjameson,Jools Jameson,configured ambiguous name group julian_jamieson_group,unresolved,,,Configured ambiguous spelling/identity group; keep separate until documentary evidence resolves it.
ambiguous-0035,person,person:julienjameson,Julien Jameson,person:joolsjamieson,Jools Jamieson,configured ambiguous name group julian_jamieson_group,unresolved,,,Configured ambiguous spelling/identity group; keep separate until documentary evidence resolves it.
ambiguous-0036,person,person:julianjamieson,Julian Jamieson,person:joolsjameson,Jools Jameson,configured ambiguous name group julian_jamieson_group,unresolved,,,Configured ambiguous spelling/identity group; keep separate until documentary evidence resolves it.
ambiguous-0037,person,person:julianjamieson,Julian Jamieson,person:joolsjamieson,Jools Jamieson,configured ambiguous name group julian_jamieson_group,unresolved,,,Configured ambiguous spelling/identity group; keep separate until documentary evidence resolves it.
ambiguous-0038,person,person:joolsjameson,Jools Jameson,person:joolsjamieson,Jools Jamieson,configured ambiguous name group julian_jamieson_group,unresolved,,,Configured ambiguous spelling/identity group; keep separate until documentary evidence resolves it.
