connection_id,entity_name,connection_type,place_name,status,confidence,source_magazine,issue_label,source_url
connection:source-item-crash-028-dr-who-competition:micropower:candidate,Micropower,reported connection requiring verification,,candidate,low,Crash,CRASH issue 028,https://www.crashonline.org.uk/28/index.htm
connection:source-item-globalnet-spot-and-all-because-superior-software:superior-software:candidate,Superior Software,reported connection requiring verification,,candidate,low,Spot On,SPOT FGAMES link 6791,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip
connection:source-item-globalnet-spot-by-fair-means-or-foul-superior-software:superior-software:candidate,Superior Software,reported connection requiring verification,,candidate,low,Spot On,SPOT FGAMES link 1486,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip
connection:source-item-globalnet-spot-dargons-crypt-venom-games:venom-games:candidate,Venom Games,reported connection requiring verification,,candidate,low,Spot On,SPOT FGAMES link 4645,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip
connection:source-item-globalnet-spot-elvira-the-arcade-game-flair-software:flair-software:candidate,Flair Software,reported connection requiring verification,,candidate,low,Spot On,SPOT FGAMES link 6904,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip
connection:source-item-globalnet-spot-lunar-buggy-robert-stockton:lunar-buggy:candidate,Lunar Buggy,reported connection requiring verification,Stockton-on-Tees,candidate,low,Spot On,SPOT FGAMES link 2779,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip
connection:source-item-globalnet-spot-lunar-flights-robert-stockton:lunar-flights:candidate,Lunar Flights,reported connection requiring verification,Stockton-on-Tees,candidate,low,Spot On,SPOT FGAMES link 4337,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip
connection:source-item-globalnet-spot-repton-mania-superior-software:superior-software:candidate,Superior Software,reported connection requiring verification,,candidate,low,Spot On,SPOT FGAMES link 1369,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip
connection:source-item-globalnet-spot-repton-superior-software:superior-software:candidate,Superior Software,reported connection requiring verification,,candidate,low,Spot On,SPOT FGAMES link 6393,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip
connection:source-item-globalnet-spot-snake-robert-stockton:snake:candidate,Snake,reported connection requiring verification,Stockton-on-Tees,candidate,low,Spot On,SPOT FGAMES link 2817,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip
connection:source-item-globalnet-spot-superior-software-superior-software:superior-software:candidate,Superior Software,reported connection requiring verification,,candidate,low,Spot On,SPOT FGAMES link 6035,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip
connection:source-item-stairway-catalogue-https-www-stairwaytohell-com-electron-b-html-bandits-at-3-oclock-micropower:micropower:candidate,Micropower,reported connection requiring verification,,candidate,low,Stairway To Hell,Stairway To Hell Electron catalogue,https://www.stairwaytohell.com/electron/b.html
connection:source-item-stairway-catalogue-https-www-stairwaytohell-com-electron-b-html-bumble-bee-micropower:micropower:candidate,Micropower,reported connection requiring verification,,candidate,low,Stairway To Hell,Stairway To Hell Electron catalogue,https://www.stairwaytohell.com/electron/b.html
