connection_id,entity_name,connection_type,place_name,status,confidence,source_magazine,issue_label,source_url
connection:source-item-crash-064-budget-bureau:zeppelin:strongly-supported,Zeppelin,organisation based in North East,Newcastle upon Tyne,strongly supported,high,Crash,CRASH issue 064,https://www.crashonline.org.uk/64/index.htm
connection:source-item-crash-096-happenings:zeppelin:strongly-supported,Zeppelin,organisation based in North East,Newcastle upon Tyne,strongly supported,high,Crash,CRASH issue 096,https://www.crashonline.org.uk/96/happenings.htm
connection:source-item-globalnet-spot-2088-zeppelin-games:zeppelin-games:strongly-supported,Zeppelin Games,organisation based in North East,Newcastle upon Tyne,strongly supported,high,Spot On,SPOT FGAMES link 1216,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip
connection:source-item-globalnet-spot-4-great-games-2-micro-value:micro-value:strongly-supported,Micro Value,organisation based in North East,Blaydon,strongly supported,high,Spot On,SPOT FGAMES link 6165,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip
connection:source-item-globalnet-spot-4-great-games-3-micro-value:micro-value:strongly-supported,Micro Value,organisation based in North East,Blaydon,strongly supported,high,Spot On,SPOT FGAMES link 4019,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip
connection:source-item-globalnet-spot-4x4-combat-pack-zeppelin-games:zeppelin-games:strongly-supported,Zeppelin Games,organisation based in North East,Newcastle upon Tyne,strongly supported,high,Spot On,SPOT FGAMES link 3977,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip
connection:source-item-globalnet-spot-all-american-basketball-zeppelin-games:zeppelin-games:strongly-supported,Zeppelin Games,organisation based in North East,Newcastle upon Tyne,strongly supported,high,Spot On,SPOT FGAMES link 5307,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip
connection:source-item-globalnet-spot-american-3d-pool-zeppelin-games:zeppelin-games:strongly-supported,Zeppelin Games,organisation based in North East,Newcastle upon Tyne,strongly supported,high,Spot On,SPOT FGAMES link 5242,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip
connection:source-item-globalnet-spot-american-tag-team-wrestling-zeppelin-games:zeppelin-games:strongly-supported,Zeppelin Games,organisation based in North East,Newcastle upon Tyne,strongly supported,high,Spot On,SPOT FGAMES link 5268,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip
connection:source-item-globalnet-spot-arcade-fruit-machine-zeppelin-games:zeppelin-games:strongly-supported,Zeppelin Games,organisation based in North East,Newcastle upon Tyne,strongly supported,high,Spot On,SPOT FGAMES link 2504,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip
connection:source-item-globalnet-spot-arcade-trivia-quiz-zeppelin-games:zeppelin-games:strongly-supported,Zeppelin Games,organisation based in North East,Newcastle upon Tyne,strongly supported,high,Spot On,SPOT FGAMES link 2501,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip
connection:source-item-globalnet-spot-auf-wiedersehen-pet-tynesoft:tynesoft:strongly-supported,Tynesoft,organisation based in North East,Blaydon,strongly supported,high,Spot On,SPOT FGAMES link 4748,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip
connection:source-item-globalnet-spot-battle-tank-simulator-zeppelin-games:zeppelin-games:strongly-supported,Zeppelin Games,organisation based in North East,Newcastle upon Tyne,strongly supported,high,Spot On,SPOT FGAMES link 6612,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip
