queue_id,entity_type,current_internal_entity,current_internal_label,external_record,external_label,source_system,match_score,reason,conflict_notes,suggested_action,decision
game-0001,game,,,assertion:wikipedia:list-of-commodore-64-games-a-m:007-licence-to-kill:title-seed:007-licence-to-kill,007: Licence to Kill,wikipedia,0.00,no canonical exact match,,review-new-candidate,unresolved
game-0002,game,,,assertion:wikipedia:list-of-commodore-64-games-a-m:10-knockout:title-seed:10-knockout,10 Knockout!,wikipedia,0.00,no canonical exact match,,review-new-candidate,unresolved
game-0003,game,,,assertion:wikipedia:list-of-commodore-64-games-a-m:10-pin-bowling:title-seed:10-pin-bowling,10-Pin Bowling,wikipedia,0.00,no canonical exact match,,review-new-candidate,unresolved
game-0004,game,,,assertion:wikipedia:list-of-commodore-64-games-a-m:100-000-pyramid:title-seed:100-000-pyramid,"$100,000 Pyramid",wikipedia,0.00,no canonical exact match,,review-new-candidate,unresolved
game-0005,game,,,assertion:wikipedia:list-of-commodore-64-games-a-m:10000-meters:title-seed:10000-meters,10000 Meters,wikipedia,0.00,no canonical exact match,,review-new-candidate,unresolved
game-0006,game,game:10th-frame,10th Frame,assertion:wikipedia:list-of-commodore-64-games-a-m:10th-frame:title-seed:10th-frame,10th Frame,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
game-0007,game,game:180,180,assertion:wikipedia:list-of-commodore-64-games-a-m:180:title-seed:180,180,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
game-0008,game,game:19-part-one-boot-camp,19 Part One: Boot Camp,assertion:wikipedia:list-of-commodore-64-games-a-m:19-part-one-boot-camp:title-seed:19-part-one-boot-camp,19 Part One: Boot Camp,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
game-0009,game,game:1942,1942,assertion:wikipedia:list-of-commodore-64-games-a-m:1942:title-seed:1942,1942,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
game-0010,game,,,assertion:wikipedia:list-of-commodore-64-games-a-m:1943-one-year-after:title-seed:1943-one-year-after,1943: One Year After,wikipedia,0.00,no canonical exact match,,review-new-candidate,unresolved
game-0011,game,,,assertion:wikipedia:list-of-commodore-64-games-a-m:1943-the-battle-of-midway:title-seed:1943-the-battle-of-midway,1943: The Battle of Midway,wikipedia,0.00,no canonical exact match,duplicate external label; queue each row and do not merge automatically,review-new-candidate,unresolved
game-0012,game,game:1985-the-day-after,1985 - The Day After,assertion:wikipedia:list-of-commodore-64-games-a-m:1985-the-day-after:title-seed:1985-the-day-after,1985: The Day After,wikipedia,0.95,normalised exact label match,,review-existing-match,unresolved
game-0013,game,game:1994-ten-years-after,1994 (Ten Years After),assertion:wikipedia:list-of-commodore-64-games-a-m:1994-ten-years-after:title-seed:1994-ten-years-after,1994: Ten Years After,wikipedia,0.95,normalised exact label match,,review-existing-match,unresolved
game-0014,game,game:1st-division-manager,1st Division Manager,assertion:wikipedia:list-of-commodore-64-games-a-m:1st-division-manager:title-seed:1st-division-manager,1st Division Manager,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
game-0015,game,,,assertion:wikipedia:list-of-commodore-64-games-a-m:2001:title-seed:2001,2001,wikipedia,0.00,no canonical exact match,,review-new-candidate,unresolved
game-0016,game,,,assertion:wikipedia:list-of-commodore-64-games-a-m:221b-baker-street:title-seed:221b-baker-street,221B Baker Street,wikipedia,0.00,no canonical exact match,,review-new-candidate,unresolved
game-0017,game,,,assertion:wikipedia:list-of-commodore-64-games-a-m:3-d-breakout:title-seed:3-d-breakout,3-D Breakout,wikipedia,0.00,no canonical exact match,,review-new-candidate,unresolved
game-0018,game,,,assertion:wikipedia:list-of-commodore-64-games-a-m:3-d-labyrinth:title-seed:3-d-labyrinth,3-D Labyrinth,wikipedia,0.00,no canonical exact match,,review-new-candidate,unresolved
game-0019,game,,,assertion:wikipedia:list-of-commodore-64-games-a-m:3-d-skramble:title-seed:3-d-skramble,3-D Skramble,wikipedia,0.00,no canonical exact match,,review-new-candidate,unresolved
game-0020,game,game:3d-construction-kit,3D Construction Kit,assertion:wikipedia:list-of-commodore-64-games-a-m:3d-construction-kit:title-seed:3d-construction-kit,3D Construction Kit,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
game-0021,game,,,assertion:wikipedia:list-of-commodore-64-games-a-m:3d-glooper:title-seed:3d-glooper,3D Glooper,wikipedia,0.00,no canonical exact match,,review-new-candidate,unresolved
game-0022,game,game:3d-tanx,3D Tanx,assertion:wikipedia:list-of-commodore-64-games-a-m:3d-tanx:title-seed:3d-tanx,3D Tanx,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
game-0023,game,game:4-soccer-simulators,4 Soccer Simulators,assertion:wikipedia:list-of-commodore-64-games-a-m:4-soccer-simulators:title-seed:4-soccer-simulators,4 Soccer Simulators,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
game-0024,game,game:4th-and-inches,4th & Inches,assertion:wikipedia:list-of-commodore-64-games-a-m:4th-and-inches:title-seed:4th-and-inches,4th & Inches,wikipedia,0.95,normalised exact label match,,review-existing-match,unresolved
game-0025,game,game:4x4-off-road-racing,4x4 Off-road Racing,assertion:wikipedia:list-of-commodore-64-games-a-m:4x4-off-road-racing:title-seed:4x4-off-road-racing,4x4 Off-Road Racing,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
game-0026,game,,,assertion:wikipedia:list-of-commodore-64-games-a-m:50-mission-crush:title-seed:50-mission-crush,50 Mission Crush,wikipedia,0.00,no canonical exact match,,review-new-candidate,unresolved
game-0027,game,game:5th-gear,5th Gear,assertion:wikipedia:list-of-commodore-64-games-a-m:5th-gear:title-seed:5th-gear,5th Gear,wikipedia,0.95,normalised exact label match,,review-existing-match,unresolved
game-0028,game,,,assertion:wikipedia:list-of-commodore-64-games-a-m:720-part-2:title-seed:720-part-2,720° Part 2,wikipedia,0.00,no canonical exact match,,review-new-candidate,unresolved
game-0029,game,,,assertion:wikipedia:list-of-commodore-64-games-a-m:720:title-seed:720,720°,wikipedia,0.00,no canonical exact match,duplicate external label; queue each row and do not merge automatically,review-new-candidate,unresolved
game-0030,game,game:aaargh,Aaargh!,assertion:wikipedia:list-of-commodore-64-games-a-m:aaargh:title-seed:aaargh,Aaargh!,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
game-0031,game,,,assertion:wikipedia:list-of-commodore-64-games-a-m:aardvark:title-seed:aardvark,Aardvark,wikipedia,0.00,no canonical exact match,,review-new-candidate,unresolved
game-0032,game,,,assertion:wikipedia:list-of-commodore-64-games-a-m:abc-monday-night-football:title-seed:abc-monday-night-football,ABC Monday Night Football,wikipedia,0.00,no canonical exact match,,review-new-candidate,unresolved
game-0033,game,,,assertion:wikipedia:list-of-commodore-64-games-a-m:abrakadabra:title-seed:abrakadabra,Abrakadabra,wikipedia,0.00,no canonical exact match,,review-new-candidate,unresolved
game-0034,game,game:accolades-comics,Accolade's Comics,assertion:wikipedia:list-of-commodore-64-games-a-m:accolades-comics:title-seed:accolades-comics,Accolade's Comics,wikipedia,0.95,normalised exact label match,,review-existing-match,unresolved
game-0035,game,game:ace-2088,Ace 2088,assertion:wikipedia:list-of-commodore-64-games-a-m:ace-2088:title-seed:ace-2088,ACE 2088,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
game-0036,game,game:ace-2,ACE 2,assertion:wikipedia:list-of-commodore-64-games-a-m:ace-2:title-seed:ace-2,Ace 2,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
game-0037,game,,,assertion:wikipedia:list-of-commodore-64-games-a-m:ace-air-combat-emulator:title-seed:ace-air-combat-emulator,ACE - Air Combat Emulator,wikipedia,0.00,no canonical exact match,,review-new-candidate,unresolved
game-0038,game,,,assertion:wikipedia:list-of-commodore-64-games-a-m:ace-harrier:title-seed:ace-harrier,Ace Harrier,wikipedia,0.00,no canonical exact match,,review-new-candidate,unresolved
game-0039,game,game:ace-of-aces,Ace of Aces,assertion:wikipedia:list-of-commodore-64-games-a-m:ace-of-aces:title-seed:ace-of-aces,Ace of Aces,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
game-0040,game,game:acrojet,AcroJet,assertion:wikipedia:list-of-commodore-64-games-a-m:acrojet:title-seed:acrojet,Acrojet,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
game-0041,game,game:action-biker,Action Biker,assertion:wikipedia:list-of-commodore-64-games-a-m:action-biker:title-seed:action-biker,Action Biker,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
game-0042,game,game:action-fighter,Action Fighter,assertion:wikipedia:list-of-commodore-64-games-a-m:action-fighter:title-seed:action-fighter,Action Fighter,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
game-0043,game,game:action-force,Action Force,assertion:wikipedia:list-of-commodore-64-games-a-m:action-force:title-seed:action-force,Action Force,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
game-0044,game,,,assertion:wikipedia:list-of-commodore-64-games-a-m:adam-nortons-ultimate-soccer:title-seed:adam-nortons-ultimate-soccer,Adam Norton's Ultimate Soccer,wikipedia,0.00,no canonical exact match,,review-new-candidate,unresolved
game-0045,game,game:addictaball,Addictaball,assertion:wikipedia:list-of-commodore-64-games-a-m:addicta-ball:title-seed:addicta-ball,Addicta Ball,wikipedia,0.95,normalised exact label match,,review-existing-match,unresolved
game-0046,game,game:adidas-championship-football,Adidas Championship Football,assertion:wikipedia:list-of-commodore-64-games-a-m:adidas-championship-football:title-seed:adidas-championship-football,ADIDAS Championship Football,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
game-0047,game,,,assertion:wikipedia:list-of-commodore-64-games-a-m:adrenalin:title-seed:adrenalin,Adrenalin,wikipedia,0.00,no canonical exact match,,review-new-candidate,unresolved
game-0048,game,,,assertion:wikipedia:list-of-commodore-64-games-a-m:adult-poker:title-seed:adult-poker,Adult Poker,wikipedia,0.00,no canonical exact match,,review-new-candidate,unresolved
game-0049,game,,,assertion:wikipedia:list-of-commodore-64-games-a-m:advance-to-boardwalk:title-seed:advance-to-boardwalk,Advance to Boardwalk,wikipedia,0.00,no canonical exact match,,review-new-candidate,unresolved
game-0050,game,,,assertion:wikipedia:list-of-commodore-64-games-a-m:advanced-basketball-simulator:title-seed:advanced-basketball-simulator,Advanced Basketball Simulator,wikipedia,0.00,no canonical exact match,,review-new-candidate,unresolved
game-0051,game,,,assertion:wikipedia:list-of-commodore-64-games-a-m:advanced-dungeons-and-dragons-heroes-of-the-lance:title-seed:advanced-dungeons-and-dragons-heroes-of-the-lance,Advanced Dungeons & Dragons: Heroes of the Lance,wikipedia,0.00,no canonical exact match,duplicate external label; queue each row and do not merge automatically,review-new-candidate,unresolved
game-0052,game,game:advanced-pinball-simulator,Advanced Pinball Simulator,assertion:wikipedia:list-of-commodore-64-games-a-m:advanced-pinball-simulator:title-seed:advanced-pinball-simulator,Advanced Pinball Simulator,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
game-0053,game,,,assertion:wikipedia:list-of-commodore-64-games-a-m:adventure-construction-set:title-seed:adventure-construction-set,Adventure Construction Set,wikipedia,0.00,no canonical exact match,,review-new-candidate,unresolved
game-0054,game,,,assertion:wikipedia:list-of-commodore-64-games-a-m:adventure-master:title-seed:adventure-master,Adventure Master,wikipedia,0.00,no canonical exact match,,review-new-candidate,unresolved
game-0055,game,game:adventure-quest,Adventure Quest,assertion:wikipedia:list-of-commodore-64-games-a-m:adventure-quest:title-seed:adventure-quest,Adventure Quest,wikipedia,0.95,normalised exact label match,,review-existing-match,unresolved
game-0056,game,game:adventureland,Adventureland,assertion:wikipedia:list-of-commodore-64-games-a-m:adventureland:title-seed:adventureland,Adventureland,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
game-0057,game,,,assertion:wikipedia:list-of-commodore-64-games-a-m:adventures-in-narnia-dawn-treader:title-seed:adventures-in-narnia-dawn-treader,Adventures in Narnia: Dawn Treader,wikipedia,0.00,no canonical exact match,,review-new-candidate,unresolved
game-0058,game,,,assertion:wikipedia:list-of-commodore-64-games-a-m:adventures-in-narnia-narnia:title-seed:adventures-in-narnia-narnia,Adventures in Narnia: Narnia,wikipedia,0.00,no canonical exact match,,review-new-candidate,unresolved
game-0059,game,game:aegean-voyage,Aegean Voyage,assertion:wikipedia:list-of-commodore-64-games-a-m:aegean-voyage:title-seed:aegean-voyage,Aegean Voyage,wikipedia,0.95,normalised exact label match,,review-existing-match,unresolved
game-0060,game,,,assertion:wikipedia:list-of-commodore-64-games-a-m:afrikan-t-hti:title-seed:afrikan-t-hti,Afrikan tähti,wikipedia,0.00,no canonical exact match,,review-new-candidate,unresolved
game-0061,game,game:afterburner,Afterburner,assertion:wikipedia:list-of-commodore-64-games-a-m:after-burner:title-seed:after-burner,After Burner,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
game-0062,game,game:after-the-war,After the War,assertion:wikipedia:list-of-commodore-64-games-a-m:after-the-war:title-seed:after-the-war,After The War,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
game-0063,game,,,assertion:wikipedia:list-of-commodore-64-games-a-m:afterlife-ii:title-seed:afterlife-ii,Afterlife II,wikipedia,0.00,no canonical exact match,,review-new-candidate,unresolved
game-0064,game,,,assertion:wikipedia:list-of-commodore-64-games-a-m:afterlife-v1-0:title-seed:afterlife-v1-0,Afterlife v1.0,wikipedia,0.00,no canonical exact match,,review-new-candidate,unresolved
game-0065,game,,,assertion:wikipedia:list-of-commodore-64-games-a-m:afterlife-v2-0:title-seed:afterlife-v2-0,Afterlife v2.0,wikipedia,0.00,no canonical exact match,,review-new-candidate,unresolved
game-0066,game,,,assertion:wikipedia:list-of-commodore-64-games-a-m:afterlife:title-seed:afterlife,Afterlife,wikipedia,0.00,no canonical exact match,,review-new-candidate,unresolved
game-0067,game,,,assertion:wikipedia:list-of-commodore-64-games-a-m:aftermath:title-seed:aftermath,Aftermath,wikipedia,0.00,no canonical exact match,duplicate external label; queue each row and do not merge automatically,review-new-candidate,unresolved
game-0068,game,game:agent-orange,Agent Orange,assertion:wikipedia:list-of-commodore-64-games-a-m:agent-orange:title-seed:agent-orange,Agent Orange,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
game-0069,game,,,assertion:wikipedia:list-of-commodore-64-games-a-m:agent-usa:title-seed:agent-usa,Agent USA,wikipedia,0.00,no canonical exact match,,review-new-candidate,unresolved
game-0070,game,,,assertion:wikipedia:list-of-commodore-64-games-a-m:agent-x-ii-the-mad-profs-back:title-seed:agent-x-ii-the-mad-profs-back,Agent X II: The Mad Prof's Back,wikipedia,0.00,no canonical exact match,duplicate external label; queue each row and do not merge automatically,review-new-candidate,unresolved
game-0071,game,game:agent-x,Agent X,assertion:wikipedia:list-of-commodore-64-games-a-m:agent-x:title-seed:agent-x,Agent X,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
game-0072,game,game:ah-diddums,Ah Diddums,assertion:wikipedia:list-of-commodore-64-games-a-m:ah-diddums:title-seed:ah-diddums,Ah Diddums,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
game-0073,game,,,assertion:wikipedia:list-of-commodore-64-games-a-m:aiginas-prophecy:title-seed:aiginas-prophecy,Aigina's Prophecy,wikipedia,0.00,no canonical exact match,,review-new-candidate,unresolved
game-0074,game,,,assertion:wikipedia:list-of-commodore-64-games-a-m:air-support:title-seed:air-support,Air Support,wikipedia,0.00,no canonical exact match,,review-new-candidate,unresolved
game-0075,game,game:airborne-ranger,Airborne Ranger,assertion:wikipedia:list-of-commodore-64-games-a-m:airborne-ranger:title-seed:airborne-ranger,Airborne Ranger,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
