queue_id,entity_type,current_internal_entity,current_internal_label,external_record,external_label,source_system,match_score,reason,conflict_notes,suggested_action,decision
organisation-0001,organisation,organisation:double-density,Double Density,assertion:wikipedia:list-of-commodore-64-games-a-m:another-world-1990:publisher-as-printed:double-density,Double Density,wikipedia,0.95,normalised exact label match,,review-existing-match,unresolved
organisation-0002,organisation,organisation:cp-verlag,CP Verlag,assertion:wikipedia:list-of-commodore-64-games-a-m:another-world-1991:publisher-as-printed:cp-verlag,CP Verlag,wikipedia,0.95,normalised exact label match,,review-existing-match,unresolved
organisation-0003,organisation,organisation:x-ample,X-Ample,assertion:wikipedia:list-of-commodore-64-games-a-m:another-world-1992:publisher-as-printed:x-ample,X-Ample,wikipedia,0.95,normalised exact label match,,review-existing-match,unresolved
organisation-0004,organisation,organisation:also-known-as-pang,also known as Pang,assertion:wikipedia:list-of-commodore-64-games-a-m:buster-bros:publisher-as-printed:also-known-as-pang,also known as Pang,wikipedia,0.95,normalised exact label match,,review-existing-match,unresolved
organisation-0005,organisation,organisation:also-known-as-rushn-attack,also known as Rush'n Attack,assertion:wikipedia:list-of-commodore-64-games-a-m:green-beret:publisher-as-printed:also-known-as-rushn-attack,also known as Rush'n Attack,wikipedia,0.95,normalised exact label match,,review-existing-match,unresolved
organisation-0006,organisation,organisation:world-karate-champ,World Karate Champ,assertion:wikipedia:list-of-commodore-64-games-a-m:international-karate:publisher-as-printed:world-karate-champ,World Karate Champ,wikipedia,0.95,normalised exact label match,,review-existing-match,unresolved
organisation-0007,organisation,organisation:1986,1986,assertion:wikipedia:list-of-commodore-64-games-a-m:judge-dredd:publisher-as-printed:1986,1986,wikipedia,0.95,normalised exact label match,,review-existing-match,unresolved
organisation-0008,organisation,,,assertion:wikipedia:list-of-commodore-64-games-a-m:judge-dredd:publisher-as-printed:1991,1991,wikipedia,0.00,no canonical exact match,,review-new-candidate,unresolved
organisation-0009,organisation,organisation:1983,1983,assertion:wikipedia:list-of-commodore-64-games-a-m:kick-off:publisher-as-printed:1983,1983,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
organisation-0010,organisation,,,assertion:wikipedia:list-of-commodore-64-games-a-m:kick-off:publisher-as-printed:1989,1989,wikipedia,0.00,no canonical exact match,,review-new-candidate,unresolved
organisation-0011,organisation,organisation:1983,1983,assertion:wikipedia:list-of-commodore-64-games-a-m:moneybags:publisher-as-printed:1983,1983,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
organisation-0012,organisation,organisation:1984,1984,assertion:wikipedia:list-of-commodore-64-games-a-m:monkey-magic:publisher-as-printed:1984,1984,wikipedia,0.95,normalised exact label match,,review-existing-match,unresolved
organisation-0013,organisation,organisation:also-known-as-buster-bros,also known as Buster Bros.,assertion:wikipedia:list-of-commodore-64-games-n-z:pang:publisher-as-printed:also-known-as-buster-bros,also known as Buster Bros.,wikipedia,0.95,normalised exact label match,,review-existing-match,unresolved
organisation-0014,organisation,organisation:also-known-as-green-beret,also known as Green Beret,assertion:wikipedia:list-of-commodore-64-games-n-z:rushn-attack:publisher-as-printed:also-known-as-green-beret,also known as Green Beret,wikipedia,0.95,normalised exact label match,,review-existing-match,unresolved
organisation-0015,organisation,,,assertion:wikipedia:list-of-zx-spectrum-games:10th-frame:developer-as-printed:john-prince-donald-campbell,"John Prince , Donald Campbell",wikipedia,0.00,no canonical exact match,duplicate external label; queue each row and do not merge automatically,review-new-candidate,unresolved
organisation-0016,organisation,,,assertion:wikipedia:list-of-zx-spectrum-games:10th-frame:licensed-from-as-printed:access-software,Access Software,wikipedia,0.00,no canonical exact match,duplicate external label; queue each row and do not merge automatically,review-new-candidate,unresolved
organisation-0017,organisation,organisation:u-s-gold,U.S. Gold,assertion:wikipedia:list-of-zx-spectrum-games:10th-frame:publisher-as-printed:u-s-gold,U.S. Gold,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
