source_id,title,person_or_topic,author,original_publication,publication_date,stairway_url,article_type,provenance_status,notes
stairway-gpartis-profile,"Gary Partis profile","Gary Partis","A&B Computing","A&B Computing / Argus Press","March 1987","https://www.stairwaytohell.com/authors/gpartis/PRO-GPartis.html","Profile","catalogued","Contemporary magazine profile; useful for early Gary Partis chronology and Audiogenic/Superior context."
stairway-gpartis-commercial-software,"State of the Art: Gary Partis on writing commercial software","Gary Partis","Micro User","Micro User / Database Publications","January 1988","https://www.stairwaytohell.com/authors/gpartis/MUJAN88-Partis.html","Technical article","catalogued","Contemporary technical article; supports working-practice claims, not employment claims."
stairway-gpartis-interview-2007,"Gary Partis 2007 interview with Stuart Goodwin","Gary Partis","Stuart Goodwin","Stairway To Hell","Autumn 2007","https://www.stairwaytohell.com/authors/gpartis/SG-Partis.html","Interview","catalogued","Retrospective interview; use as recollection unless corroborated."
stairway-gpartis-photos,"Gary Partis miscellaneous photos","Gary Partis / Peter Scott","Stairway To Hell","Stairway To Hell","August 2004","https://www.stairwaytohell.com/authors/gpartis/PIC-GPartis.html","Retrospective recollection","catalogued","Contains captions for Gary Partis/Peter Scott photos; do not use to identify unrelated Tynesoft group photos by appearance."
stairway-kblake-portfolio,"Kevin Blake software portfolio 1984-2000","Kevin Blake","Kevin Blake","Stairway To Hell","Winter 2000","https://www.stairwaytohell.com/authors/kblake/POR-KBlake.html","Retrospective recollection","catalogued","First-person portfolio; strong for Kevin Blake's own work claims, weaker for broader company claims."
stairway-kblake-mini-profile,"Kevin Blake mini-profile","Kevin Blake","A&B Computing","A&B Computing","February 1987","https://www.stairwaytohell.com/authors/kblake/MPR-KBlake.html","Profile","catalogued","Contemporary mini-profile listing selected games."
stairway-kblake-spy-vs-spy,"Spy vs Spy: I must have been mad","Kevin Blake","Kevin Blake","Electron User / Database Publications","January 1988","https://www.stairwaytohell.com/authors/kblake/EUJAN88-SpyVsSpy.html","Technical article","catalogued","First-person technical article on Tynesoft conversion work."
stairway-tynesoft-boys-club,"Tynesoft Boys Club Part One","Tynesoft photographs and staff recollection","Kevin Blake","Stairway To Hell","Winter 2000","https://www.stairwaytohell.com/articles/KBlake.html","Retrospective recollection","catalogued","Key source for Tynesoft Staff Image 1 and Image 2 provenance and source-attributed captions; use names as testimony pending independent corroboration."
stairway-pscott-profile,"Peter Scott profile","Peter Scott","A&B Computing","A&B Computing / Argus Press","April 1987","https://www.stairwaytohell.com/authors/pscott/PRO-PScott.html","Profile","catalogued","Contemporary profile; supports ASL/Audiogenic programmer context."
stairway-pscott-conversions,"The conversions caper","Peter Scott","Peter Scott","Micro User / Database Publications","July 1990","https://www.stairwaytohell.com/authors/pscott/MUJUL90-PeterScott.html","Technical article","catalogued","First-person technical article on conversion methods."
stairway-pscott-omega-orb,"Diary of a Game: Omega Orb","Peter Scott","Peter Scott","A&B Computing","date not confirmed","https://www.stairwaytohell.com/authors/pscott/AB-DiaryOfAGame-OmegaOrb.html","Technical article","catalogued","First-person development diary; original issue/date still needs confirmation."
stairway-pscott-interview-2007,"Peter Scott 2007 interview with Stuart Goodwin","Peter Scott","Stuart Goodwin","Stairway To Hell","Autumn 2007","https://www.stairwaytohell.com/authors/pscott/SG-PeterScott.html","Interview","catalogued","Retrospective interview; use as recollection unless corroborated."
stairway-jsobell-profile,"Jason Sobell profile","Jason Sobell","Jason Sobell","Stairway To Hell","March 2001","https://www.stairwaytohell.com/authors/jsobell/PRO-JSobell.html","Profile","catalogued","Retrospective profile; supports Jason Sobell's own recollections."
stairway-jsobell-portfolio,"Jason Sobell software portfolio","Jason Sobell","Jason Sobell","Stairway To Hell","March 2001","https://www.stairwaytohell.com/authors/jsobell/POR-JSobell.html","Retrospective recollection","catalogued","Portfolio source for Jason Sobell game credits and club recollections."
stairway-jsobell-interview-2007,"Jason Sobell 2007 interview with Stuart Goodwin","Jason Sobell","Stuart Goodwin","Stairway To Hell","Autumn 2007","https://www.stairwaytohell.com/authors/jsobell/SG-Sobell.html","Interview","catalogued","Retrospective interview; use as recollection unless corroborated."
stairway-dcroft-mini-profile,"Dave Croft mini-profile","Dave Croft","A&B Computing","A&B Computing","February 1987","https://www.stairwaytohell.com/authors/dcroft/MPR-DCroft.html","Profile","catalogued","Contemporary mini-profile listing Tynesoft-era sports titles."
stairway-edmondson-chamberlain-profile,"Martin Edmondson and Nicholas Chamberlain profile","Martin Edmondson; Nicholas Chamberlain","A&B Computing","A&B Computing / Argus Press","October 1987","https://www.stairwaytohell.com/authors/edmondsonchamberlain/PRO-EdmondsonChamberlain.html","Profile","catalogued","Contemporary profile for early Reflections people; useful replacement for poster-only claims."
stairway-pjohnson-profile,"Peter Johnson profile","Peter Johnson","A&B Computing","A&B Computing / Argus Press","August 1987","https://www.stairwaytohell.com/authors/pjohnson/PRO-PJohnson.html","Profile","catalogued","Contemporary profile; supports Superior title context."
stairway-pjohnson-update,"Peter Johnson profile update","Peter Johnson","Peter Johnson","Stairway To Hell","June 2001","https://www.stairwaytohell.com/authors/pjohnson/PUP-PJohnson.html","Retrospective recollection","catalogued","Self-authored update mentioning later Rage Newcastle leadership; needs corroboration for public career claims."
stairway-pjohnson-interview-2007,"Peter Johnson 2007 interview with Stuart Goodwin","Peter Johnson","Stuart Goodwin","Stairway To Hell","Autumn 2007","https://www.stairwaytohell.com/authors/pjohnson/SG-PJohnson.html","Interview","catalogued","Retrospective interview; use as recollection unless corroborated."
